PLACE_NM,TRRSRT_ROAD_NM_ADDR,TRNSPORT_INFO_CN,CRSLK_ADDR,CRSLK_ROAD_NM,CHILD_PRTC_ZONE_AT,CRSLK_LA,CRSLK_LO
옛백제병원,부산광역시 동구 중앙대로209번길 16,"도시철도 1호선 부산역 7번출구 도보 2분, 버스 103, 26, 27, 40, 41, 59, 81, 87, 1003, 1004 부산역 하차 도보 2분",부산 동구 초량동 424-1,중앙대로,Y,35.11668,129.03822
초량이바구길,부산광역시 동구 중앙대로 209번길 16,"도시철도 1호선 부산역 7번 출구 도보 2분, 버스 26, 27, 40, 41, 59, 81, 87, 103, 1003, 1004 부산역 하차 도보 2분, 주차 부산역 공영주차장",부산 동구 초량동 1206-1,중앙대로,Y,35.11453,129.03934
조선통신사역사관,부산광역시 동구 자성로99,"도시철도 1호선 범일역 2번 출구 도보 12분, 버스 26, 41, 139, 80, 42, 1003 자성대 하차 도보 2분, 22, 23, 27, 40, 41, 63, 83, 101, 108, 134, 138 부산진시장 하차 도보 5분",부산 동구 범일동 394,자성로,Y,35.13608,129.06257
웹툰이바구길,부산광역시 동구 성북로 57-2(성북전통시장),"버스 186, 86, 87 성북고개 하차 도보 1분, 주차 성북공영주차장",부산 동구 범일동 1430-6,성북로,Y,35.13858,129.04798
현대백화점 부산점,부산광역시 동구 범일로 125,"도시철도 1호선 범일역 하차, 지하 연결통로 이용 도보 2분, 버스 101, 111, 134, 168, 22, 27, 40, 42, 57, 583, 68, 80, 83-1, 99 자유시장 하차 도보 4분, 주차 현대백화점 부산점 주차장",부산 동구 범일동 949,조방로,N,35.14124,129.06002
초량1941,부산광역시 동구 망양로 533-5,"문화공감 수정, 도시철도 1호선 부산진역 1번 출구 도보 7분, 버스 103 경남여중 하차 59, 67, 81, 167 고관입구 하차, 부산역에서 택시로 기본요금, 초량1941, 버스 22, 38, 52, 86, 186 금수사 하차, 부산역에서 택시로 기본요금",부산 동구 초량동 840-4,망양로,Y,35.11973,129.03026
차이나타운,부산광역시 동구 대영로243번길 43,"도시철도 1호선 부산역 1번, 5번 출구, 버스 2, 26, 27, 41, 59, 67, 87, 103, 167, 520 부산역 하차, 주차 차이나타운 공영주차장(유료)",부산 동구 초량동 1206-1,초량중로,Y,35.11474,129.0393
구봉산 치유숲길,부산광역시 동구 구봉북길 19(부산 동구 산 35-22),"도시철도 1호선 부산진역 1번 출구 → 마을버스 동구2 환승 → 수정아파트5동 하차 도보 10분, 주차 구봉산 치유숲길 공영주차장",부산 동구 수정동 1190,망양로,Y,35.12611,129.03531
대영태권도,부산광역시 남구 황령대로 492번길 8 대영태권도,"도시철도 2호선 남천역 2번 출구 도보 8분, 버스 583, 남구8 국민은행해변시장입구 하차 도보 3분",부산 남구 대연동 29-13,황령대로,N,35.1396,129.10527
국립일제강제동원역사관,부산광역시 남구 홍곡로320번길 100,"도시철도 2호선 못골역 1번 출구 → 마을버스 남구9 환승 → 국립일제강제동원역사관 하차, 버스 134 석포초등학교 하차, 도보 10분, 마을버스 남구9 ? 유엔평화기념관?국립일제강제동원역사관 하차",부산 남구 대연동 1015,석포로,Y,35.1282,129.09107
연효재,부산광역시 남구 전포대로 110(연효재),"도시철도 2호선 부산국제금융센터?부산은행역 4번 출구 하차 도보 1분, 시내버스 138-1, 24, 583 문전교차로 하차",부산 남구 문현동 687,전포대로,N,35.14811,129.0666
부산박물관,부산광역시 남구 유엔평화로 63,"도시철도 2호선 대연역 1번 출구 도보 12분, 버스 134, 51, 68, 138, 138-1, 1006 시립박물관?부산문화회관 하차, 부산시티투어버스 : 부산역(레드라인) → 부산박물관 하차, 주차 박물관 내 주차장(무료)",부산 남구 대연동 1014,유엔로,Y,35.13156,129.09194
우암동 도시숲,부산광역시 남구 우암동 12,도시철도 2호선 지게골역 1번 출구 도보 20분,부산 남구 우암동 239-12,장고개로,Y,35.1278,129.07114
이기대 해안산책로,부산광역시 남구 용호동 일대,도시철도 2호선 경성대?부경대역 → 버스 환승 20 22 24 27 39 131 마을버스 남구2 남구8 주차 이기대 공영주차장(유료),부산 남구 용호동 5-45,이기대공원로,N,35.13081,129.11946
경성대문화골목,부산광역시 남구 용소로13번길 36-1,"지하철 이용 시 : 2호선 경성대.부경대역 1번 출구 도보 3분, 버스 이용 시 : 남구2, 남구10 경성대학교입구 하차 → 도보 3분",부산 남구 대연동 77,용소로,Y,35.13695,129.10023
